mode,app,tier,controls,events,compilation_success_rate,migration_completeness,ui_parity_score,time_reduction_ratio,error_density,rule_mapped,agent_needed,unmapped,xaml_loc,code_behind_loc,vm_loc,errors,warnings,fixes,time_ms
rule_only,InventoryForm,large,26,12,52.8,88.5,85.0,4500.0,3.81,24,2,0,48,78,0,0,0,0,23.1
rule_only,EmailForm,large,25,10,52.8,68.0,85.0,5805.0,4.29,18,6,1,44,68,0,0,0,0,22.0
rule_only,DashboardForm,large,25,12,52.8,92.0,85.0,4140.0,3.78,24,1,0,49,78,0,0,0,0,19.9
rule_only,NotepadForm,medium,10,6,65.6,80.0,92.0,2250.0,3.16,8,2,0,28,48,0,0,0,0,5.6
rule_only,ContactsForm,medium,13,6,65.6,92.3,92.0,2250.0,3.20,12,1,0,27,48,0,0,0,0,5.7
rule_only,FileManagerForm,medium,12,4,65.6,66.7,92.0,3285.0,3.38,7,4,1,33,38,0,0,0,0,6.1
rule_only,ImageViewerForm,medium,11,3,65.6,90.9,92.0,1665.0,1.88,10,1,0,31,33,0,0,0,0,4.0
rule_only,CalculatorForm,small,18,16,55.6,100.0,85.0,3780.0,9.14,18,0,0,32,38,0,0,0,0,4.9
rule_only,LoginForm,small,9,4,65.6,100.0,92.0,1350.0,2.62,9,0,0,23,38,0,0,0,0,2.7
rule_only,AboutForm,small,5,1,75.6,100.0,98.0,585.0,0.95,5,0,0,19,23,0,0,0,0,2.8
rule_only,SettingsForm,small,6,4,65.6,100.0,92.0,1080.0,2.76,6,0,0,20,38,0,0,0,0,4.0
rule_only,TimerForm,small,5,4,75.6,80.0,98.0,990.0,2.86,5,0,0,18,38,0,0,0,0,3.1
single_agent,InventoryForm,large,26,12,78.2,96.2,94.0,7000.0,0.69,24,2,0,48,127,0,0,0,0,5.2
single_agent,EmailForm,large,25,10,40.0,92.0,94.0,9030.0,2.76,18,6,1,44,101,0,3,0,0,4.3
single_agent,DashboardForm,large,25,12,55.8,96.0,94.0,6440.0,1.48,24,1,0,49,100,0,1,0,0,6.3
single_agent,NotepadForm,medium,10,6,64.0,100.0,97.0,3500.0,1.78,8,2,0,28,62,0,1,0,0,3.6
single_agent,ContactsForm,medium,13,6,64.0,100.0,97.0,3500.0,2.60,12,1,0,27,73,0,2,0,0,3.5
single_agent,FileManagerForm,medium,12,4,87.0,100.0,97.0,5110.0,0.49,7,4,1,33,49,0,0,0,0,2.7
single_agent,ImageViewerForm,medium,11,3,87.0,100.0,97.0,2590.0,0.43,10,1,0,31,39,0,0,0,0,3.0
single_agent,CalculatorForm,small,18,16,78.2,100.0,94.0,5880.0,1.50,18,0,0,32,75,0,0,0,0,4.0
single_agent,LoginForm,small,9,4,87.0,100.0,97.0,2100.0,0.52,9,0,0,23,54,0,0,0,0,3.1
single_agent,AboutForm,small,5,1,93.0,100.0,100.0,910.0,0.23,5,0,0,19,24,0,0,0,0,2.0
single_agent,SettingsForm,small,6,4,87.0,100.0,97.0,1680.0,0.65,6,0,0,20,42,0,0,0,0,2.1
single_agent,TimerForm,small,5,4,93.0,80.0,100.0,1540.0,0.66,5,0,0,18,43,0,0,0,0,2.0
hybrid,InventoryForm,large,26,12,95.0,96.2,100.0,10000.0,0.00,24,2,0,48,127,72,0,0,0,5.9
hybrid,EmailForm,large,25,10,48.0,92.0,100.0,12900.0,1.41,18,6,1,44,101,68,3,0,0,5.8
hybrid,DashboardForm,large,25,12,72.0,96.0,100.0,9200.0,0.46,24,1,0,49,100,70,1,0,0,5.4
hybrid,NotepadForm,medium,10,6,74.2,100.0,100.0,5000.0,0.74,8,2,0,28,62,46,1,0,0,4.8
hybrid,ContactsForm,medium,13,6,74.2,100.0,100.0,5000.0,1.32,12,1,0,27,73,51,2,0,0,5.2
hybrid,FileManagerForm,medium,12,4,97.8,100.0,100.0,7300.0,0.00,7,4,1,33,49,28,0,0,0,3.4
hybrid,ImageViewerForm,medium,11,3,97.8,100.0,100.0,3700.0,0.00,10,1,0,31,39,24,0,0,0,3.4
hybrid,CalculatorForm,small,18,16,95.0,100.0,100.0,8400.0,0.00,18,0,0,32,75,69,0,0,0,6.8
hybrid,LoginForm,small,9,4,97.8,100.0,100.0,3000.0,0.00,9,0,0,23,54,42,0,0,0,3.9
hybrid,AboutForm,small,5,1,97.8,100.0,100.0,1300.0,0.00,5,0,0,19,24,18,0,0,0,2.2
hybrid,SettingsForm,small,6,4,97.8,100.0,100.0,2400.0,0.00,6,0,0,20,42,30,0,0,0,2.4
hybrid,TimerForm,small,5,4,97.8,80.0,100.0,2200.0,0.00,5,0,0,18,43,30,0,0,0,3.1
